epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,462.809,1.04555,0.43208,0.00293,0.92449,1,0.95714,0.64909,1.38631,0.41001,0.00387,0.0103746,0.00345819,0.0103746,0.00345819,0.0103746,0.00345819,0.0103746,0.00345819
92,467.911,1.02479,0.3861,0.00296,0.92411,1,0.95143,0.63127,1.42709,0.41814,0.0042,0.010077,0.00335899,0.010077,0.00335899,0.010077,0.00335899,0.010077,0.00335899
93,472.671,1.05021,0.38698,0.00291,0.92801,0.9922,0.95143,0.67378,1.24852,0.40846,0.00351,0.00978153,0.00326051,0.00978153,0.00326051,0.00978153,0.00326051,0.00978153,0.00326051
94,477.741,0.98334,0.42586,0.00282,0.92857,1,0.96786,0.69498,1.18326,0.33264,0.00342,0.00948839,0.0031628,0.00948839,0.0031628,0.00948839,0.0031628,0.00948839,0.0031628
95,482.466,1.06008,0.45117,0.00306,0.92458,1,0.96214,0.68463,1.35514,0.37942,0.0036,0.00919767,0.00306589,0.00919767,0.00306589,0.00919767,0.00306589,0.00919767,0.00306589
96,487.494,0.9982,0.40515,0.00286,0.92199,1,0.95714,0.6902,1.293,0.38042,0.00321,0.0089095,0.00296983,0.0089095,0.00296983,0.0089095,0.00296983,0.0089095,0.00296983
97,492.24,1.01173,0.40816,0.00288,0.92456,1,0.95143,0.68553,1.11841,0.35118,0.00314,0.008624,0.00287467,0.008624,0.00287467,0.008624,0.00287467,0.008624,0.00287467
98,497.271,0.96837,0.39246,0.00275,0.9243,1,0.94571,0.68956,1.22619,0.35725,0.00298,0.00834131,0.00278044,0.00834131,0.00278044,0.00834131,0.00278044,0.00834131,0.00278044
99,502.079,1.0017,0.43202,0.00297,0.92457,1,0.94571,0.64473,1.3443,0.40244,0.00328,0.00806153,0.00268718,0.00806153,0.00268718,0.00806153,0.00268718,0.00806153,0.00268718
100,507.263,0.99378,0.38088,0.00274,0.92657,1,0.94071,0.71153,0.94058,0.36598,0.00264,0.00778481,0.00259494,0.00778481,0.00259494,0.00778481,0.00259494,0.00778481,0.00259494
101,512.146,1.01571,0.46364,0.00282,0.92826,0.99562,0.94571,0.72042,1.01964,0.42782,0.00284,0.00751125,0.00250375,0.00751125,0.00250375,0.00751125,0.00250375,0.00751125,0.00250375
102,517.163,0.93502,0.45522,0.00269,0.92431,1,0.94571,0.65194,1.2462,0.39028,0.00344,0.00724098,0.00241366,0.00724098,0.00241366,0.00724098,0.00241366,0.00724098,0.00241366
103,521.856,0.98401,0.42915,0.00283,0.92458,1,0.94571,0.64579,1.31517,0.40802,0.00362,0.00697412,0.00232471,0.00697412,0.00232471,0.00697412,0.00232471,0.00697412,0.00232471
104,526.936,0.97977,0.39848,0.00275,0.9247,1,0.94571,0.69346,1.14914,0.39062,0.00305,0.00671078,0.00223693,0.00671078,0.00223693,0.00671078,0.00223693,0.00671078,0.00223693
105,531.825,0.97045,0.35908,0.00269,0.92467,1,0.94571,0.65368,1.2697,0.39583,0.00345,0.00645108,0.00215036,0.00645108,0.00215036,0.00645108,0.00215036,0.00645108,0.00215036
106,536.829,0.92325,0.356,0.0026,0.92844,0.99821,0.94571,0.71482,1.04988,0.39127,0.00291,0.00619513,0.00206504,0.00619513,0.00206504,0.00619513,0.00206504,0.00619513,0.00206504
107,541.606,0.91881,0.36529,0.00259,0.92475,1,0.94571,0.73062,0.98195,0.33768,0.00268,0.00594305,0.00198102,0.00594305,0.00198102,0.00594305,0.00198102,0.00594305,0.00198102
108,546.637,0.88316,0.35838,0.00245,0.92454,1,0.95143,0.72573,1.04464,0.34317,0.00297,0.00569494,0.00189831,0.00569494,0.00189831,0.00569494,0.00189831,0.00569494,0.00189831
109,551.478,0.91386,0.41798,0.00281,0.92462,1,0.95714,0.71029,1.11476,0.346,0.00309,0.00545092,0.00181697,0.00545092,0.00181697,0.00545092,0.00181697,0.00545092,0.00181697
110,556.472,0.90266,0.35162,0.00254,0.9244,1,0.95143,0.64815,1.24639,0.38896,0.00335,0.00521109,0.00173703,0.00521109,0.00173703,0.00521109,0.00173703,0.00521109,0.00173703
